contractid,planid,ssa,fips,state,county,enrollment
H0111,1,11020,13007,GA,Baker,11
H0111,1,11030,13009,GA,Baldwin,44
H0111,1,11050,13013,GA,Barrow,65
H0111,1,11060,13015,GA,Bartow,68
H0111,1,11070,13017,GA,Ben Hill,21
H0111,1,11080,13019,GA,Berrien,31
H0111,1,11090,13021,GA,Bibb,136
H0111,1,11100,13023,GA,Bleckley,27
H0111,1,11110,13025,GA,Brantley,46
H0111,1,11120,13027,GA,Brooks,13
H0111,1,11130,13029,GA,Bryan,73
H0111,1,11150,13033,GA,Burke,49
H0111,1,11160,13035,GA,Butts,43
H0111,1,11170,13039,GA,Camden,107
H0111,1,11190,13045,GA,Carroll,126
H0111,1,11200,13047,GA,Catoosa,12
H0111,1,11210,13049,GA,Charlton,13
H0111,1,11220,13051,GA,Chatham,520
H0111,1,11240,13055,GA,Chattooga,14
H0111,1,11250,13057,GA,Cherokee,200
H0111,1,11260,13059,GA,Clarke,77
H0111,1,11280,13063,GA,Clayton,157
H0111,1,11290,13067,GA,Cobb,767
H0111,1,11291,13069,GA,Coffee,31
H0111,1,11300,13071,GA,Colquitt,39
H0111,1,11310,13073,GA,Columbia,220
H0111,1,11311,13075,GA,Cook,20
H0111,1,11320,13077,GA,Coweta,98
H0111,1,11330,13079,GA,Crawford,14
H0111,1,11340,13081,GA,Crisp,20
H0111,1,11350,13085,GA,Dawson,12
H0111,1,11360,13087,GA,Decatur,14
H0111,1,11370,13089,GA,DeKalb,439
H0111,1,11380,13091,GA,Dodge,26
H0111,1,11381,13093,GA,Dooly,15
H0111,1,11400,13097,GA,Douglas,168
H0111,1,11421,13103,GA,Effingham,122
H0111,1,11430,13105,GA,Elbert,13
H0111,1,11440,13107,GA,Emanuel,27
H0111,1,11450,13111,GA,Fannin,28
H0111,1,11451,13113,GA,Fayette,77
H0111,1,11460,13115,GA,Floyd,39
H0111,1,11461,13117,GA,Forsyth,89
H0111,1,11462,13119,GA,Franklin,20
H0111,1,11470,13121,GA,Fulton,413
H0111,1,11471,13123,GA,Gilmer,22
H0111,1,11490,13127,GA,Glynn,237
H0111,1,11500,13129,GA,Gordon,13
H0111,1,11510,13131,GA,Grady,34
H0111,1,11520,13133,GA,Greene,22
H0111,1,11530,13135,GA,Gwinnett,413
H0111,1,11540,13137,GA,Habersham,16
H0111,1,11550,13139,GA,Hall,36
H0111,1,11570,13143,GA,Haralson,51
H0111,1,11580,13145,GA,Harris,58
H0111,1,11581,13147,GA,Hart,25
H0111,1,11590,13149,GA,Heard,15
H0111,1,11591,13151,GA,Henry,138
H0111,1,11600,13153,GA,Houston,111
H0111,1,11610,13157,GA,Jackson,41
H0111,1,11611,13159,GA,Jasper,23
H0111,1,11612,13161,GA,Jeff Davis,17
H0111,1,11620,13163,GA,Jefferson,32
H0111,1,11630,13165,GA,Jenkins,17
H0111,1,11640,13167,GA,Johnson,12
H0111,1,11650,13169,GA,Jones,20
H0111,1,11651,13171,GA,Lamar,22
H0111,1,11660,13175,GA,Laurens,19
H0111,1,11680,13179,GA,Liberty,89
H0111,1,11690,13181,GA,Lincoln,14
H0111,1,11700,13185,GA,Lowndes,300
H0111,1,11701,13187,GA,Lumpkin,17
H0111,1,11702,13189,GA,McDuffie,49
H0111,1,11703,13191,GA,McIntosh,63
H0111,1,11710,13193,GA,Macon,12
H0111,1,11720,13195,GA,Madison,23
H0111,1,11730,13197,GA,Marion,14
H0111,1,11740,13199,GA,Meriwether,41
H0111,1,11750,13205,GA,Mitchell,33
H0111,1,11760,13207,GA,Monroe,44
H0111,1,11771,13211,GA,Morgan,13
H0111,1,11772,13213,GA,Murray,17
H0111,1,11780,13215,GA,Muscogee,299
H0111,1,11790,13217,GA,Newton,125
H0111,1,11800,13219,GA,Oconee,39
H0111,1,11810,13223,GA,Paulding,284
H0111,1,11811,13225,GA,Peach,37
H0111,1,11812,13227,GA,Pickens,45
H0111,1,11820,13229,GA,Pierce,16
H0111,1,11821,13231,GA,Pike,25
H0111,1,11830,13233,GA,Polk,42
H0111,1,11831,13235,GA,Pulaski,18
H0111,1,11832,13237,GA,Putnam,23
H0111,1,11834,13241,GA,Rabun,16
H0111,1,11840,13245,GA,Richmond,457
H0111,1,11841,13247,GA,Rockdale,119
H0111,1,11850,13251,GA,Screven,26
H0111,1,11860,13255,GA,Spalding,80
H0111,1,11861,13257,GA,Stephens,13
H0111,1,11862,13259,GA,Stewart,15
H0111,1,11880,13263,GA,Talbot,20
H0111,1,11882,13267,GA,Tattnall,17
H0111,1,11884,13271,GA,Telfair,12
H0111,1,11890,13275,GA,Thomas,48
H0111,1,11900,13277,GA,Tift,36
H0111,1,11901,13279,GA,Toombs,24
H0111,1,11910,13285,GA,Troup,92
H0111,1,11912,13289,GA,Twiggs,12
H0111,1,11920,13293,GA,Upson,20
H0111,1,11921,13295,GA,Walker,28
H0111,1,11930,13297,GA,Walton,73
H0111,1,11940,13299,GA,Ware,40
H0111,1,11950,13303,GA,Washington,23
H0111,1,11960,13305,GA,Wayne,25
H0111,1,11963,13311,GA,White,13
H0111,1,11970,13313,GA,Whitfield,42
H0111,1,11972,13317,GA,Wilkes,17
H0111,1,11973,13319,GA,Wilkinson,12
H0111,1,11980,13321,GA,Worth,22
H0111,2,11220,13051,GA,Chatham,18
H0111,2,11250,13057,GA,Cherokee,13
H0111,2,11290,13067,GA,Cobb,62
H0111,2,11310,13073,GA,Columbia,13
H0111,2,11370,13089,GA,DeKalb,29
H0111,2,11830,13233,GA,Polk,14
H0111,2,11840,13245,GA,Richmond,31
H0111,3,11250,13057,GA,Cherokee,13
H0111,3,11290,13067,GA,Cobb,29
H0111,3,11370,13089,GA,DeKalb,15
H0111,3,11470,13121,GA,Fulton,11
H0111,3,11530,13135,GA,Gwinnett,11
H0111,4,11030,13009,GA,Baldwin,21
H0111,4,11050,13013,GA,Barrow,14
H0111,4,11060,13015,GA,Bartow,25
H0111,4,11080,13019,GA,Berrien,12
H0111,4,11090,13021,GA,Bibb,64
H0111,4,11150,13033,GA,Burke,16
H0111,4,11160,13035,GA,Butts,11
H0111,4,11170,13039,GA,Camden,18
H0111,4,11190,13045,GA,Carroll,83
H0111,4,11220,13051,GA,Chatham,119
H0111,4,11250,13057,GA,Cherokee,25
H0111,4,11260,13059,GA,Clarke,30
H0111,4,11280,13063,GA,Clayton,108
H0111,4,11290,13067,GA,Cobb,141
H0111,4,11291,13069,GA,Coffee,16
H0111,4,11300,13071,GA,Colquitt,20
H0111,4,11310,13073,GA,Columbia,39
H0111,4,11320,13077,GA,Coweta,24
H0111,4,11370,13089,GA,DeKalb,224
H0111,4,11380,13091,GA,Dodge,14
H0111,4,11400,13097,GA,Douglas,43
H0111,4,11440,13107,GA,Emanuel,16
H0111,4,11451,13113,GA,Fayette,14
H0111,4,11460,13115,GA,Floyd,11
H0111,4,11461,13117,GA,Forsyth,18
H0111,4,11462,13119,GA,Franklin,11
H0111,4,11470,13121,GA,Fulton,383
H0111,4,11490,13127,GA,Glynn,54
H0111,4,11530,13135,GA,Gwinnett,150
H0111,4,11550,13139,GA,Hall,26
H0111,4,11570,13143,GA,Haralson,16
H0111,4,11591,13151,GA,Henry,45
H0111,4,11600,13153,GA,Houston,28
H0111,4,11610,13157,GA,Jackson,11
H0111,4,11620,13163,GA,Jefferson,17
H0111,4,11651,13171,GA,Lamar,12
H0111,4,11680,13179,GA,Liberty,32
H0111,4,11700,13185,GA,Lowndes,286
H0111,4,11702,13189,GA,McDuffie,13
H0111,4,11720,13195,GA,Madison,11
H0111,4,11740,13199,GA,Meriwether,14
H0111,4,11750,13205,GA,Mitchell,13
H0111,4,11760,13207,GA,Monroe,11
H0111,4,11772,13213,GA,Murray,12
H0111,4,11780,13215,GA,Muscogee,166
H0111,4,11790,13217,GA,Newton,45
H0111,4,11810,13223,GA,Paulding,39
H0111,4,11820,13229,GA,Pierce,13
H0111,4,11830,13233,GA,Polk,24
H0111,4,11840,13245,GA,Richmond,140
H0111,4,11841,13247,GA,Rockdale,29
H0111,4,11860,13255,GA,Spalding,25
H0111,4,11890,13275,GA,Thomas,17
H0111,4,11900,13277,GA,Tift,14
H0111,4,11910,13285,GA,Troup,24
H0111,4,11920,13293,GA,Upson,16
H0111,4,11921,13295,GA,Walker,28
H0111,4,11930,13297,GA,Walton,26
H0111,4,11940,13299,GA,Ware,19
H0111,4,11950,13303,GA,Washington,12
H0111,4,11970,13313,GA,Whitfield,29
H0111,4,11980,13321,GA,Worth,12
H0439,2,11040,13011,GA,Banks,67
H0439,2,11050,13013,GA,Barrow,102
H0439,2,11060,13015,GA,Bartow,129
H0439,2,11160,13035,GA,Butts,22
H0439,2,11190,13045,GA,Carroll,11
H0439,2,11240,13055,GA,Chattooga,94
H0439,2,11250,13057,GA,Cherokee,70
H0439,2,11260,13059,GA,Clarke,138
H0439,2,11280,13063,GA,Clayton,157
H0439,2,11290,13067,GA,Cobb,277
H0439,2,11320,13077,GA,Coweta,48
H0439,2,11350,13085,GA,Dawson,38
H0439,2,11370,13089,GA,DeKalb,297
H0439,2,11400,13097,GA,Douglas,114
H0439,2,11451,13113,GA,Fayette,11
H0439,2,11460,13115,GA,Floyd,199
H0439,2,11461,13117,GA,Forsyth,60
H0439,2,11462,13119,GA,Franklin,71
H0439,2,11470,13121,GA,Fulton,400
H0439,2,11500,13129,GA,Gordon,134
H0439,2,11520,13133,GA,Greene,26
H0439,2,11530,13135,GA,Gwinnett,266
H0439,2,11540,13137,GA,Habersham,176
H0439,2,11550,13139,GA,Hall,293
H0439,2,11591,13151,GA,Henry,55
H0439,2,11610,13157,GA,Jackson,112
H0439,2,11701,13187,GA,Lumpkin,127
H0439,2,11720,13195,GA,Madison,53
H0439,2,11771,13211,GA,Morgan,18
H0439,2,11790,13217,GA,Newton,93
H0439,2,11800,13219,GA,Oconee,12
H0439,2,11801,13221,GA,Oglethorpe,28
H0439,2,11810,13223,GA,Paulding,83
H0439,2,11812,13227,GA,Pickens,28
H0439,2,11830,13233,GA,Polk,127
H0439,2,11841,13247,GA,Rockdale,40
H0439,2,11860,13255,GA,Spalding,95
H0439,2,11861,13257,GA,Stephens,133
H0439,2,11930,13297,GA,Walton,103
H0439,2,11963,13311,GA,White,181
H0439,3,11050,13013,GA,Barrow,32
H0439,3,11060,13015,GA,Bartow,61
H0439,3,11240,13055,GA,Chattooga,20
H0439,3,11250,13057,GA,Cherokee,48
H0439,3,11260,13059,GA,Clarke,34
H0439,3,11280,13063,GA,Clayton,56
H0439,3,11290,13067,GA,Cobb,207
H0439,3,11320,13077,GA,Coweta,19
H0439,3,11370,13089,GA,DeKalb,146
H0439,3,11400,13097,GA,Douglas,47
H0439,3,11460,13115,GA,Floyd,72
H0439,3,11461,13117,GA,Forsyth,21
H0439,3,11462,13119,GA,Franklin,22
H0439,3,11470,13121,GA,Fulton,161
H0439,3,11500,13129,GA,Gordon,26
